lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
MARG1,Marietta,33.953888888889,-84.443333333333,0.01,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
PDSG1,Powder Springs,33.827222222222,-84.719722222222,0.19,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
TEXG1,Texas,33.2275,-85.2205555555555,0.25,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
RMBG1,Rome Mayos Bar L & D Park,34.200277777778,-85.256666666667,0.18,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
NOOG1,Woodstock,34.068333333333,-84.535555555556,0.01,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
BKCG1,Tucker,33.8352777777778,-84.2569444444444,0.01,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
WETG1,West Point Dam,32.918333333333,-85.188333333333,0.76,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:15:00Z,9999,9999,9999,None
CNTT1,Centerville,35.808333333333,-87.438055555556,0.01,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 02:15:00Z,9999,9999,9999,None
MTVG1,Mount Vernon,32.191111111111,-82.631666666667,0.11,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
COBG1,Decatur,33.709444444444,-84.239444444444,0.01,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
CTWG1,Cedartown,33.995833333333,-85.264722222222,0.15,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
MOLG1,Molena,33.0475,-84.526388888889,0.01,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
UTYG1,West Atlanta,33.743333333333,-84.568333333333,0.15,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:15:00Z,9999,9999,9999,None
MUGT1,Murfreesboro,35.902777777778,-86.43,0.04,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
WCEG1,Northwest Fayetteville,33.4872222222222,-84.5083333333333,0.12,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
YJCG1,Hogansville,33.139444444444,-84.975277777778,0.09,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
PICV2,POUND RIVER ABOVE INDIAN CREEK NEAR POUND,37.123888888889,-82.608055555556,0.01,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:45:00Z,1504267000000,2.32,0.4,None
MAHG1,Mars Hill,33.995277777778,-84.693055555556,0.1,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
SHOG1,Panthersville,33.693333333333,-84.253888888889,0.01,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
CCKG1,Kenwood,33.5258333333333,-84.4338888888889,0.09,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
WSEG1,Woolsey,33.359722222222,-84.394444444444,0.05,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
ABBG1,Abbeville,31.996666666667,-83.279166666667,0.04,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
NCDG1,Chamblee,33.897777777778,-84.345555555556,0.01,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
BVDN7,BREVARD DCP,35.236666666667,-82.7225,0.01,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
BWNG1,Bowden,33.492777777778,-85.279166666667,0.18,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
WDCG1,Atlanta,33.8216666666667,-84.4388888888889,0.08,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
MPLT1,Mount Pleasant,35.531944444444,-87.205277777778,0.04,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
WHTG1,Whitesburg,33.476944444444,-84.901111111111,0.13,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
PELT1,Pelham,35.296666666667,-85.869722222222,0.03,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
DWSG1,Dawsonville,34.357777777778,-84.113611111111,11.13,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
NKJT1,Nickajack Dam (Jasper 5S),35,-85.616666666667,0.01,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:45:00Z,1594211900000,2.32,0.4,MRMS * 1.0=0.01
RDBG1,Redbud,34.564166666667,-84.833055555556,0.03,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
CLFG1,Clinchfield,32.426666666667,-83.644444444444,0.03,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:15:00Z,9999,9999,9999,None
MCRG1,McRae,31.991388888889,-82.921944444444,0.04,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
THLT1,THORN HILL,36.295,-83.5877777777778,0.01,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 01:30:00Z,1590231820000,2.64,0.4,None
