lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
COPV2,COPPER HILL IFLOWS,37.114444444444,-80.133888888889,0.04,PP,RR,5,Hourly 2018-05-30 20:00:00Z / 05 Min 2018-05-31 19:35:00Z,9999,9999,9999,None
VSUV2,VESUVIUS IFLOWS,37.915,-79.1944444444444,0.28,PP,RR,5,Hourly 2018-05-30 20:00:00Z / 05 Min 2018-05-31 19:20:00Z,9999,9999,9999,None
MOUN7,#35 MTN ISLAND DAM - MOUNT HOLLY 4 NE,35.333611111111,-80.987222222222,0.02,PC,RR,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:50:00Z,9999,9999,9999,None
CEHT1,CENTER HILL DAM,36.0975,-85.827222222222,0.4,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
UNVT1,Unionville,35.6211111111111,-86.5863888888889,0.25,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
GLDV2,GLADESBORO IFLOWS,36.672222222222,-80.616111111111,1.23,PP,RR,5,Hourly 2018-05-30 20:00:00Z / 05 Min 2018-05-31 19:20:00Z,9999,9999,9999,None
NFGT1,Newfound Gap TN,35.610833333333,-83.428888888889,0.96,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1584264990000,9999,9999,None
MPLT1,Mount Pleasant,35.531944444444,-87.205277777778,0.49,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
FNKN7,FRANKLIN DCP,35.2,-83.380277777778,0.98,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 18:45:00Z,9999,9999,9999,None
GCBG1,Banks Crossing,34.2694444444444,-83.4677777777778,0.31,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
