lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
CHPT1,CHEATHAM DAM HEADWATER,36.314444444444,-87.2275,0.08,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
CIRV2,CIRCLE M IFLOWS,36.713611111111,-80.334166666667,0.16,PP,RR,5,Hourly 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:00:00Z,9999,9999,9999,None
FNKN7,FRANKLIN DCP,35.2,-83.380277777778,0.42,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 18:45:00Z,9999,9999,9999,None
GBOT1,GAINESBORO,36.351111111111,-85.545555555556,0.22,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
MHLN7,MARSHALL 5 S,35.723333333333,-82.66,0.29,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
BRCT1,Bullrun Creek near Halls Crossroads,36.114444444444,-83.988333333333,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:40:00Z,1592283300000,9999,9999,None
ALPT1,Alpine,36.396944444444,-85.174444444444,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
CTHT1,Carthage,36.248055555556,-85.955277777778,0.25,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
JKL,Jackson,37.6,-83.3166666666667,0.29,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
BRUS1,PAVILION,34.885277777778,-82.301111111111,0.02,PP,RZ,5,05 Min 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:40:00Z,9999,9999,9999,None
TUNN7,TUNI CREEK NC,35.088055555556,-83.738888888889,0.11,PP,RR,5,Hourly 2018-05-31 09:00:00Z / 05 Min 2018-05-31 19:05:00Z,1595294300000,9999,9999,None
MLDS1,HOLLY TREE GOLF COURSE,34.787222222222,-82.255555555556,0.01,PP,RZ,5,05 Min 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:40:00Z,9999,9999,9999,None
SOPS1,SOUTHSIDE PARK,34.742222222222,-82.302777777778,0.01,PP,RZ,5,05 Min 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:40:00Z,9999,9999,9999,None
SLMN7,SUGARLOAF MTN,35.406666666667,-82.268333333333,0.64,PP,RR,5,Hourly 2018-05-31 09:00:00Z / 05 Min 2018-05-31 19:55:00Z,9999,9999,9999,None
SMSS1,E SIMPSONVILLE FD,34.794444444444,-82.228611111111,0.01,PP,RZ,5,05 Min 2018-05-31 08:00:00Z / 05 Min 2018-05-31 19:40:00Z,9999,9999,9999,None
